Type,Gender,Breed1,Color1,Color2,State,Age,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,PhotoAmt,is_adopted
Cat,Mixed,Domestic Medium Hair,Brown,Golden,Pulau Pinang,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,5.0,0
Dog,Female,Mixed Breed,Black,Brown,Selangor,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,200.0,0.0,5.0,1
Cat,Female,Domestic Short Hair,Brown,Cream,Selangor,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Female,Domestic Short Hair,Brown,Gray,Selangor,3.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0
Dog,Female,Mixed Breed,Black,NoColor,Melaka,36.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,0
Cat,Female,Domestic Medium Hair,Gray,White,Kuala Lumpur,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,4.0,1
Cat,Mixed,Domestic Short Hair,Yellow,Gray,Selangor,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,5.0,1
Cat,Male,Domestic Short Hair,Yellow,White,Kuala Lumpur,7.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Female,Mixed Breed,Black,NoColor,Johor,12.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,1
Cat,Mixed,Domestic Short Hair,Gray,White,Kuala Lumpur,7.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,1
Dog,Female,Mixed Breed,Brown,Cream,Selangor,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,11.0,1
Dog,Female,Mixed Breed,Brown,NoColor,Selangor,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Female,German Shepherd Dog,Black,Brown,Selangor,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Male,Domestic Short Hair,Brown,White,Selangor,10.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,3.0,1
Cat,Female,Domestic Short Hair,Golden,White,Melaka,14.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,4.0,1
Dog,Mixed,Schnauzer,Black,Gray,Selangor,36.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,1
Cat,Female,Bengal,Black,White,Selangor,12.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,1
Dog,Mixed,Mixed Breed,Black,Brown,Selangor,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,9.0,1
Dog,Female,Mixed Breed,Black,White,Selangor,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,50.0,0.0,16.0,1
Dog,Male,Mixed Breed,Brown,NoColor,Johor,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,8.0,1
Dog,Male,Mixed Breed,Black,NoColor,Perak,36.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,3.0,0
Dog,Female,Mixed Breed,Black,Brown,Selangor,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,1
Cat,Female,Domestic Short Hair,Brown,White,Selangor,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,0
Dog,Female,Spitz,Brown,White,Selangor,7.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,1
Dog,Female,Mixed Breed,Black,Brown,Johor,56.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,0
Dog,Female,Mixed Breed,Black,NoColor,Selangor,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Cat,Male,Domestic Short Hair,White,NoColor,Pahang,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,1
Cat,Male,Domestic Short Hair,Black,Gray,Kuala Lumpur,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Female,Mixed Breed,Black,Brown,Selangor,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,0.0,0.0,5.0,1
Dog,Male,Golden Retriever,Cream,NoColor,Selangor,36.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,5.0,1
Cat,Male,Domestic Short Hair,Gray,NoColor,Selangor,19.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,0
Dog,Mixed,Mixed Breed,Black,Brown,Kuala Lumpur,1.0,2.0,1.0,2.0,1.0,2.0,1.0,6.0,0.0,0.0,3.0,1
Dog,Male,Schnauzer,Gray,NoColor,Kuala Lumpur,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Female,Shih Tzu,Black,White,Selangor,12.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,650.0,0.0,2.0,0
Dog,Female,Mixed Breed,Golden,NoColor,Kuala Lumpur,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,150.0,0.0,5.0,1
Cat,Male,Domestic Short Hair,Black,NoColor,Kuala Lumpur,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,1
Dog,Female,Mixed Breed,Black,NoColor,Kuala Lumpur,0.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,0
Cat,Mixed,Domestic Medium Hair,Brown,NoColor,Selangor,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0
Cat,Mixed,Domestic Medium Hair,Black,Gray,Selangor,2.0,2.0,2.0,2.0,2.0,2.0,1.0,10.0,50.0,0.0,0.0,0
Cat,Female,Domestic Short Hair,Black,Gray,Selangor,5.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,1
Dog,Female,Mixed Breed,Black,NoColor,Selangor,4.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Male,Mixed Breed,Black,Brown,Johor,12.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0
Cat,Male,Domestic Short Hair,Black,Golden,Kuala Lumpur,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1
Dog,Female,Mixed Breed,Black,Gray,Selangor,17.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0
Dog,Female,Mixed Breed,Black,Brown,Selangor,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Cat,Male,Domestic Short Hair,Black,Brown,Selangor,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,7.0,1
Cat,Male,Siamese,Brown,Cream,Negeri Sembilan,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,6.0,1
Dog,Male,Jack Russell Terrier,Brown,White,Kuala Lumpur,24.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,1
Dog,Male,Mixed Breed,Brown,NoColor,Selangor,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,0.0,1.0,0
Cat,Male,Domestic Short Hair,Yellow,NoColor,Kuala Lumpur,5.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Dog,Female,Beagle,Cream,White,Selangor,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1
Dog,Female,Mixed Breed,Black,Brown,Selangor,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,1
Dog,Male,Mixed Breed,Brown,NoColor,Selangor,12.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Female,Mixed Breed,Brown,NoColor,Kuala Lumpur,13.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,1
Cat,Mixed,Domestic Short Hair,Brown,Gray,Selangor,4.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,3.0,1
Dog,Female,Mixed Breed,Brown,NoColor,Selangor,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Cat,Female,Domestic Short Hair,Brown,White,Selangor,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Dog,Male,Mixed Breed,Brown,Cream,Selangor,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0
Dog,Male,Mixed Breed,Black,NoColor,Kuala Lumpur,6.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Cat,Mixed,Persian,White,NoColor,Selangor,1.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,100.0,0.0,11.0,1
Cat,Female,Domestic Short Hair,Black,White,Selangor,3.0,2.0,1.0,2.0,2.0,2.0,1.0,12.0,0.0,0.0,4.0,1
Cat,Female,Domestic Short Hair,Black,Golden,Kuala Lumpur,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Female,Mixed Breed,Black,Yellow,Kuala Lumpur,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Female,Siamese,Black,Brown,Kuala Lumpur,12.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,150.0,0.0,19.0,1
Cat,Male,Domestic Short Hair,Brown,NoColor,Selangor,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,0
Dog,Female,Mixed Breed,Black,Brown,Selangor,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Male,Mixed Breed,Black,White,Johor,24.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,1
Dog,Mixed,Mixed Breed,Black,Brown,Perak,1.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,0.0,0.0,28.0,1
Dog,Male,Mixed Breed,Black,Brown,Selangor,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Dog,Male,Golden Retriever,Yellow,NoColor,Selangor,24.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,100.0,0.0,1.0,1
Dog,Female,Mixed Breed,Black,White,Kuala Lumpur,24.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0
Dog,Female,Mixed Breed,Black,Brown,Selangor,15.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0
Dog,Male,Silky Terrier,Black,Brown,Pulau Pinang,6.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Dog,Female,Mixed Breed,Brown,White,Selangor,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,7.0,1
Dog,Male,Mixed Breed,Brown,NoColor,Selangor,10.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1
Dog,Male,Mixed Breed,Black,NoColor,Selangor,30.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1
Cat,Mixed,Domestic Medium Hair,Black,Brown,Kuala Lumpur,5.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,12.0,1
Dog,Mixed,Border Collie,Black,Cream,Kuala Lumpur,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,0.0,5.0,5.0,1
Cat,Female,Domestic Short Hair,Black,White,Pulau Pinang,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1
Dog,Male,Mixed Breed,Cream,NoColor,Kuala Lumpur,12.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,5.0,1
Dog,Female,Mixed Breed,Brown,White,Selangor,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1
Cat,Mixed,Domestic Short Hair,Black,Brown,Selangor,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,1
